FID	IID	Population
BB31	HG02337	ACB
BB34	HG02339	ACB
BB35	HG02343	ACB
PEL56	HG02345	PEL
PEL57	HG02348	PEL
HG02351	HG02351	CDX
HG02353	HG02353	CDX
HG02355	HG02355	CDX
HG02356	HG02356	CDX
HG02360	HG02360	CDX
HG02364	HG02364	CDX
HG02367	HG02367	CDX
CDX2	HG02371	CDX
HG02373	HG02373	CDX
HG02374	HG02374	CDX
HG02375	HG02375	CDX
HG02379	HG02379	CDX
HG02380	HG02380	CDX
HG02382	HG02382	CDX
HG02383	HG02383	CDX
HG02384	HG02384	CDX
HG02385	HG02385	CDX
HG02386	HG02386	CDX
HG02389	HG02389	CDX
HG02390	HG02390	CDX
HG02391	HG02391	CDX
HG02392	HG02392	CDX
HG02394	HG02394	CDX
HG02395	HG02395	CDX
HG02396	HG02396	CDX
HG02397	HG02397	CDX
HG02398	HG02398	CDX
HG02399	HG02399	CDX
HG02401	HG02401	CDX
HG02402	HG02402	CDX
HG02406	HG02406	CDX
HG02407	HG02407	CDX
HG02408	HG02408	CDX
HG02409	HG02409	CDX
HG02410	HG02410	CDX
BB36	HG02419	ACB
BB37	HG02420	ACB
PEL59	HG02425	PEL
BB37	HG02427	ACB
BB39	HG02429	ACB
BB41	HG02433	ACB
BB42	HG02439	ACB
BB43	HG02442	ACB
BB44	HG02445	ACB
BB46	HG02449	ACB
BB46	HG02450	ACB
BB48	HG02455	ACB
GB15	HG02461	GWD
GB15	HG02462	GWD
GB16	HG02464	GWD
GB16	HG02465	GWD
BB49	HG02470	ACB
BB49	HG02471	ACB
BB51	HG02476	ACB
BB52	HG02477	ACB
BB53	HG02479	ACB
BB54	HG02481	ACB
BB55	HG02484	ACB
BB55	HG02485	ACB
BB45	HG02489	ACB
PK06	HG02490	PJL
PK06	HG02491	PJL
PK07	HG02493	PJL
PK07	HG02494	PJL
BB57	HG02496	ACB
BB57	HG02497	ACB
BB58	HG02501	ACB
BB58	HG02502	ACB
BB59	HG02505	ACB
BB60	HG02508	ACB
BB56	HG02511	ACB
VN087	HG02512	KHV
VN087	HG02513	KHV
VN090	HG02521	KHV
VN090	HG02522	KHV
BB61	HG02536	ACB
BB61	HG02537	ACB
BB63	HG02541	ACB
BB64	HG02545	ACB
BB64	HG02546	ACB
BB65	HG02549	ACB
BB67	HG02554	ACB
BB67	HG02555	ACB
BB68	HG02557	ACB
BB68	HG02558	ACB
GB18	HG02561	GWD
GB18	HG02562	GWD
GB20	HG02568	GWD
GB21	HG02570	GWD
GB21	HG02571	GWD
GB22	HG02573	GWD
GB22	HG02574	GWD
BB69	HG02577	ACB
BB70	HG02580	ACB
GB23	HG02582	GWD
GB23	HG02583	GWD
GB24	HG02585	GWD
GB24	HG02586	GWD
GB25	HG02588	GWD
GB25	HG02589	GWD
GB27	HG02594	GWD
GB27	HG02595	GWD
PK08	HG02597	PJL
PK09	HG02600	PJL
PK09	HG02601	PJL
PK10	HG02603	PJL
PK10	HG02604	PJL
GB28	HG02610	GWD
GB28	HG02611	GWD
GB29	HG02613	GWD
GB29	HG02614	GWD
GB31	HG02620	GWD
GB31	HG02621	GWD
GB32	HG02623	GWD
GB32	HG02624	GWD
GB33	HG02628	GWD
GB33	HG02629	GWD
GB35	HG02634	GWD
GB35	HG02635	GWD
GB37	HG02642	GWD
GB37	HG02643	GWD
